"","Mitigation","Cost[USD/tco2e]","GHG savings[Mt Co2e]_old","width","GHG savings[Mt Co2e]","GHG savings[Mt Co2e]_half"
"1","Nutrient Management",-44.4115544863827,5.78592667044086,5.78592667044086,2.89296333522043,5.78592667044086
"2","Zero-Tillage",-24.9042452939814,6.12642411710742,0.340497446666554,5.95617539377414,6.12642411710742
"3","Rice Water Management",-10.0313676316128,6.68489358530742,0.5584694682,6.40565885120742,6.68489358530742
"4","Short Duration Varieties",0.90690258175495,6.82781626418742,0.14292267888,6.75635492474742,6.82781626418742
"5","Straw treatment with urea",181.462784869878,7.01779281634937,0.189976552161954,6.92280454026839,7.01779281634937
"6","Improved management (small ruminant)",429.77882419398,7.05552186236577,0.0377290460164045,7.03665733935757,7.05552186236577
"7","Increased concentrate feeding",448.183684561913,8.34470599538539,1.28918413301962,7.70011392887558,8.34470599538539
"8","Green fodder supplement",1030.96629782604,8.68414914040468,0.339443145019286,8.51442756789504,8.68414914040468
"9","Manure management",3494.05615334867,8.82393962521317,0.139790484808486,8.75404438280892,8.82393962521317
