"","Mitigation","Cost[USD/tco2e]","width","GHG savings[Mt Co2e]","GHG savings[Mt Co2e]_half"
"1","Efficicent fertiliser use",-79.0474969277499,17.521126547,8.7605632735,17.521126547
"2","Zero Tillage",-50.4079250912966,15.110237978,25.076245536,32.631364525
"3","Rice water management",-9.29135045396136,12.104118,38.683423525,44.735482525
"4","Eliminate residue burning",8.22164973618735,1.84151595581181,45.6562405029059,46.5769984808118
"5","Laser land levelling",23.4686976079132,3.6158452302017,48.3849210959127,50.1928437110135
"6","Improved diet (high fibre diet) - pigs",67.0611245485052,0.294304549652422,50.3399959858397,50.4871482606659
"7","Improved diet mgmt of small ruminants  (small ruminants)",110.235167423275,1.72869747513449,51.3514969982332,52.2158457358004
"8","Biogass",170.960240162392,9.29305089323426,56.8623711824176,61.5088966290347
"9","Molasses Urea Products (ruminants)",222.139555870984,3.54596958465397,63.2818814213617,65.0548662136887
"10","Fertigation",452.286160242406,2.84588433125756,66.4778083793174,67.9007505449462
"11","Sprinkler/micro-sprinkler irrigation",470.102471229392,2.59926573466628,69.2003834122794,70.5000162796125
"12","Increased concentrate feeding (ruminants)",591.119546076131,2.619055047935,71.80954380358,73.1190713275475
"13","Green fodder supplement (ruminants)",1256.33688913858,0.729680860648183,73.4839117578716,73.8487521881957
"14","Restoration of wind/water eroded land",1515.53442323976,0.8311875,74.2643459381957,74.6799396881957
"15","Controlling wind/water erosion",2001.38557462859,4.8213,77.0905896881957,79.5012396881957
"16","Reclaimation of salinity/Alkalinity",2077.14009576838,1.00089,80.0016846881957,80.5021296881957
"17","Monensin pre-mix (ruminants)",4242.04627960461,3.69854665287541,82.3514030146334,84.2006763410711
"18","Reclamination of water logged soil",5014.46056060789,0.3932225,84.3972875910711,84.5938988410711
"19","Vermicompost",5623.69810325414,0.932169767840837,85.0599837249915,85.5260686089119
